#rratio, cache-misses, min, max
#./ermia.exe 1000000 10 24 0 2400 3
0 433860243.20000000000000000000 430695712 436497449
1 428979946.20000000000000000000 422974132 433551932
2 430717616.00000000000000000000 427624109 434713438
3 424794413.80000000000000000000 419644006 433422920
4 421038442.80000000000000000000 415643445 424580440
5 416832113.60000000000000000000 409127662 421712517
6 403551096.80000000000000000000 394101053 412419599
7 406021474.00000000000000000000 399055993 410591684
8 394146582.20000000000000000000 383107820 399832551
9 360734125.60000000000000000000 355276598 367875191
10 289159141.60000000000000000000 281225192 294533950
