#rratio, cache-references, min, max
#./ermia.exe 1000000 10 24 0 2400 3
0 950567545.80000000000000000000 943385395 957407636
1 952046286.40000000000000000000 935321954 961387745
2 968449921.60000000000000000000 964422889 973459255
3 972604319.40000000000000000000 962160774 988179117
4 981368110.00000000000000000000 971390633 989021735
5 995363342.40000000000000000000 977186995 1009268892
6 987890018.40000000000000000000 967884924 1009224263
7 1015915435.80000000000000000000 997280653 1026023344
8 1015980527.40000000000000000000 986470903 1034307947
9 956688631.20000000000000000000 940815109 977472637
10 794741136.20000000000000000000 772213175 823129065
